Concelho,Neighboring_Concelhos
Seia,"['Covilhã', 'Arganil', 'Oliveira do Hospital', 'Gouveia', 'Manteigas', 'Mangualde', 'Nelas']"
Trancoso,"['Aguiar da Beira', 'Celorico da Beira', 'Fornos de Algodres', 'Mêda', 'Pinhel', 'Penedono', 'Sernancelhe']"
Vila Nova de Foz Côa,"['Carrazeda de Ansiães', 'Freixo de Espada à Cinta', 'Torre de Moncorvo', 'Figueira de Castelo Rodrigo', 'Mêda', 'Pinhel', 'Penedono', 'São João da Pesqueira']"
Óbidos,"['Bombarral', 'Caldas da Rainha', 'Peniche', 'Lourinhã']"
Alcobaça,"['Caldas da Rainha', 'Leiria', 'Marinha Grande', 'Nazaré', 'Porto de Mós', 'Rio Maior']"
Alvaiázere,"['Ansião', 'Figueiró dos Vinhos', 'Pombal', 'Ferreira do Zêzere', 'Ourém']"
Ansião,"['Penela', 'Soure', 'Alvaiázere', 'Figueiró dos Vinhos', 'Pombal']"
Batalha,"['Leiria', 'Porto de Mós', 'Alcanena', 'Ourém']"
Bombarral,"['Óbidos', 'Caldas da Rainha', 'Cadaval', 'Lourinhã']"
Caldas da Rainha,"['Óbidos', 'Alcobaça', 'Bombarral', 'Cadaval', 'Rio Maior']"
Castanheira de Pêra,"['Góis', 'Lousã', 'Figueiró dos Vinhos', 'Pedrógão Grande']"
Figueiró dos Vinhos,"['Sertã', 'Lousã', 'Miranda do Corvo', 'Penela', 'Alvaiázere', 'Ansião', 'Castanheira de Pêra', 'Pedrógão Grande', 'Ferreira do Zêzere']"
Leiria,"['Alcobaça', 'Batalha', 'Marinha Grande', 'Pombal', 'Porto de Mós', 'Ourém']"
Marinha Grande,"['Alcobaça', 'Leiria']"
Nazaré,['Alcobaça']
Pedrógão Grande,"['Sertã', 'Góis', 'Pampilhosa da Serra', 'Castanheira de Pêra', 'Figueiró dos Vinhos']"
Peniche,"['Óbidos', 'Lourinhã']"
Pombal,"['Figueira da Foz', 'Soure', 'Alvaiázere', 'Ansião', 'Leiria', 'Ourém']"
Porto de Mós,"['Alcobaça', 'Batalha', 'Leiria', 'Alcanena', 'Rio Maior', 'Santarém']"
Alenquer,"['Arruda dos Vinhos', 'Azambuja', 'Cadaval', 'Sobral de Monte Agraço', 'Torres Vedras', 'Vila Franca de Xira']"
Amadora,"['Lisboa', 'Odivelas', 'Oeiras', 'Sintra']"
